Response,Department,Q01_Q 1->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q02_Q 2->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q03_Q 3->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q04_Q 4->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q05_Q 5->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q06_Q 6->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q07_Q 7->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q08_Q 8->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q09_Q 9->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q10_Q 10->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q11_Q 11->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree),Q12_Q 12->Rate from 1 (Strongly Agree) to 5 (Strongly Disagree)
44238,AR-MA1,2,4,2,3,2,2,4,4,3,4,4,2
44345,SC-MA1,3,2,2,3,2,2,3,4,2,2,3,3
44247,IN-MA1,2,4,1,2,1,3,4,4,2,2,2,1
44256,AR-MA1,4,3,2,3,1,2,3,5,2,2,2,3
44236,SV-MA1,2,2,1,1,3,2,3,2,3,2,3,1
44343,MA-MA1,3,4,4,4,2,4,3,2,4,4,2,4
44250,AR-MA1,4,4,1,1,1,2,4,1,1,2,2,1
44253,CGC-MA1,3,5,1,1,1,3,3,4,2,2,4,1
44249,AR-MA1,4,2,2,4,1,1,2,4,1,2,1,2
44251,IN-MA1,3,5,2,3,4,2,5,5,3,2,4,3
44342,SV-MA1,2,3,1,4,4,2,1,5,1,2,3,5
44239,SC-MA1,4,4,2,2,1,4,2,2,3,2,4,4
44292,IN-MA1,2,5,1,3,3,1,4,5,2,1,4,2
44245,IN-MA1,5,4,2,1,3,1,3,5,1,4,5,1
44252,MX-MA1,4,3,1,4,1,1,2,3,2,2,5,5
44347,PH-MA1,4,3,2,3,5,3,2,4,5,2,5,4
44315,SV-MA1,4,4,1,4,1,3,2,5,3,2,1,1
44140,GC-MA1,4,2,2,3,2,4,4,3,2,2,2,3
44224,GC-MA1,4,3,1,2,2,3,2,4,1,2,4,1
44325,GM-MA1,2,3,1,4,2,2,2,2,5,2,3,2
44353,DH-MA3,4,2,2,1,1,2,2,5,1,2,2,2
44107,IF-MA1,3,4,4,2,1,3,2,3,2,2,3,3
44139,MA-MA1,4,1,5,3,5,2,4,3,3,5,3,2
44311,SC-MA1,5,4,1,1,3,3,2,4,3,2,3,2
44351,MT-MA1,3,4,5,2,2,2,2,4,2,2,2,2
44254,IN-MA1,3,3,2,2,1,3,2,4,3,2,3,2
44205,MX-MA1,4,3,1,3,1,2,4,5,3,3,1,1
44340,IN-MA1,4,3,1,1,1,3,1,3,2,1,1,2
44255,SC-MA1,2,4,2,5,1,2,5,4,3,2,4,3
44318,MX-MA1,4,1,1,1,2,1,2,4,3,1,1,1
44354,EL-MA1,3,4,4,4,4,4,4,3,4,4,3,3
44348,MT-MA1,3,5,2,3,4,4,2,4,4,2,3,2
44357,IN-MA1,1,5,2,5,5,3,5,3,2,2,5,5
44316,GM-MA1,4,2,1,2,4,4,3,4,2,1,2,1
44352,IF-MA1,5,1,2,1,2,1,3,5,2,1,2,1
44186,EL-MA1,3,5,2,2,5,5,2,3,4,1,2,2
44329,MX-MA1,4,1,3,5,5,1,4,4,4,1,1,1
44322,PH-MA1,5,3,1,2,1,2,3,4,1,1,3,4
44296,IN-MA1,4,2,3,5,5,3,5,3,3,4,5,2
44179,GM-MA1,4,2,1,2,1,3,4,5,4,2,3,2
44314,MT-MA1,4,2,2,3,2,3,2,4,3,2,3,3
44285,MA-MA1,2,4,1,2,3,5,3,3,3,1,2,1
44248,EL-MA1,3,4,4,3,3,4,2,2,2,3,2,3
44244,MX-MA1,4,3,2,1,1,4,2,4,2,2,4,1
44350,SC-MA1,4,2,1,2,2,2,1,4,2,2,2,1
44206,IN-MA1,5,3,1,2,1,3,2,5,2,1,4,3
44166,EL-MA1,3,2,1,2,2,3,2,3,3,2,3,1
44124,EL-MA3,5,3,1,1,4,4,2,4,1,3,4,2
44151,EL-MA3,4,4,1,3,3,4,3,3,2,1,1,2
44117,PH-MA1,2,1,2,2,4,2,3,1,2,1,1,1
44196,GC-MA1,4,3,1,5,1,1,1,2,1,3,2,1
44330,EL-MA1,3,2,4,4,2,2,4,2,2,3,2,5
44312,SC-MA1,3,2,5,4,4,4,3,2,3,5,5,5
44344,IN-MA1,3,2,2,2,3,3,2,2,3,2,2,3
44349,PH-MA1,4,2,1,3,2,2,4,2,4,2,4,2
44317,GM-MA1,2,5,1,3,1,4,2,1,5,1,4,1
44201,IN-MA1,4,5,1,5,2,5,5,3,5,1,4,4
44356,SC-MA1,2,2,1,2,1,3,3,4,2,1,1,2
