Department,Number of students,Percentage of students,,Total number of students
AR-MA1,4,6.89655172413793,,58
CGC-MA1,1,1.72413793103448,,
DH-MA3,1,1.72413793103448,,
EL-MA1,5,8.62068965517241,,
EL-MA3,2,3.44827586206897,,
GC-MA1,3,5.17241379310345,,
GM-MA1,4,6.89655172413793,,
IF-MA1,2,3.44827586206897,,
IN-MA1,11,18.9655172413793,,
MA-MA1,3,5.17241379310345,,
MT-MA1,3,5.17241379310345,,
MX-MA1,5,8.62068965517241,,
PH-MA1,4,6.89655172413793,,
SC-MA1,7,12.0689655172414,,
SV-MA1,3,5.17241379310345,,
